Structure,Mixed glass,Glass wool,Glass wool,Mixed glass,Glass wool,Mixed glass,Glass wool,Mixed glass,Glass wool,Glass wool,Broth,Broth,Mixed glass,Mixed glass,Mixed glass,Broth,Broth,Glass wool,Broth,Broth,Mixed glass,Glass wool,Broth,Broth,Glass wool,Mixed glass,Glass wool,Mixed glass,Glass wool,Mixed glass,Mixed glass,Broth,Broth,Glass wool,Mixed glass,Broth,Broth,Broth,Broth,Glass wool,Glass wool,Glass wool,Broth,Mixed glass,Glass wool,Mixed glass,Mixed glass,Glass wool,Mixed glass,Mixed glass,Mixed glass,Broth,Broth,Broth,Mixed glass,Broth,Glass wool,Broth,Glass wool,Glass wool,Mixed glass,Glass wool,Broth,Mixed glass
OTU_504,0,25.97402597,29.41176471,94.59459459,0,111.1111111,0,28.16901408,0,0,0,0,0,155.5555556,37.73584906,0,0,0,652.173913,0,17.54385965,0,0,0,0,0,0,35.71428571,0,172.4137931,0,0,0,0,0,0,0,0,0,18.86792453,0,0,16.12903226,117.6470588,0,80,14.08450704,0,57.14285714,39.21568627,11.9047619,0,0,0,33.81642512,0,0,0,58.82352941,23.80952381,40,27.77777778,0,40.81632653
OTU_760,52.63157895,77.92207792,58.82352941,418.9189189,0,282.8282828,148.1481481,126.7605634,0,47.61904762,17.85714286,45.45454545,98.03921569,333.3333333,75.47169811,0,100,47.61904762,260.8695652,186.0465116,210.5263158,0,0,44.44444444,0,114.2857143,30.3030303,160.7142857,0,103.4482759,125,0,206.8965517,118.6440678,98.9010989,20.83333333,21.27659574,0,71.42857143,12.57861635,120.6896552,0,64.51612903,117.6470588,64.51612903,360,126.7605634,57.14285714,0,98.03921569,71.42857143,55.55555556,62.5,55.55555556,106.2801932,0,18.86792453,131.5789474,117.6470588,23.80952381,146.6666667,111.1111111,29.41176471,142.8571429
OTU_600,0,0,0,13.51351351,0,0,0,0,0,0,0,0,0,22.22222222,18.86792453,0,0,0,43.47826087,0,0,0,0,0,0,0,0,17.85714286,0,0,31.25,0,0,0,0,0,0,0,0,0,0,0,0,29.41176471,0,40,0,0,0,0,0,0,0,0,9.661835749,0,18.86792453,0,0,0,53.33333333,27.77777778,0,0
OTU_658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_2,18087.7193,35883.11688,26823.52941,193675.6757,13965.51724,146878.7879,18592.59259,48802.8169,7092.592593,34500,11678.57143,22545.45455,44313.72549,177377.7778,48528.30189,38258.06452,40066.66667,9079.365079,280304.3478,81441.86047,129947.3684,8594.594595,39684.21053,22533.33333,12068.18182,25628.57143,24848.48485,102901.7857,14469.38776,14310.34483,12437.5,18625,29620.68966,16457.62712,30879.12088,19125,39297.87234,22482.75862,16000,16893.08176,21793.10345,11805.19481,45306.45161,63588.23529,29967.74194,174400,96000,19800,53000,74137.2549,29672.61905,17648.14815,11291.66667,35074.07407,52256.03865,13589.74359,32792.45283,76315.78947,24911.76471,29404.7619,115440,51638.88889,19352.94118,45704.08163
OTU_790,35.0877193,0,29.41176471,121.6216216,0,151.5151515,74.07407407,0,0,23.80952381,0,22.72727273,0,222.2222222,18.86792453,0,33.33333333,0,0,186.0465116,140.3508772,0,0,22.22222222,0,85.71428571,0,53.57142857,40.81632653,34.48275862,0,0,34.48275862,16.94915254,32.96703297,41.66666667,106.3829787,0,0,25.1572327,0,0,48.38709677,88.23529412,64.51612903,120,42.25352113,14.28571429,0,98.03921569,17.85714286,37.03703704,0,55.55555556,24.15458937,51.28205128,56.60377358,26.31578947,58.82352941,71.42857143,120,0,0,40.81632653
OTU_24,0,64.93506494,29.41176471,13.51351351,275.862069,1272.727273,0,309.8591549,0,142.8571429,0,204.5454545,176.4705882,155.5555556,226.4150943,290.3225806,66.66666667,0,0,325.5813953,210.5263158,81.08108108,52.63157895,111.1111111,0,628.5714286,60.60606061,758.9285714,142.8571429,0,0,0,34.48275862,84.74576271,32.96703297,333.3333333,234.0425532,344.8275862,142.8571429,81.76100629,17.24137931,38.96103896,96.77419355,441.1764706,129.0322581,5440,690.1408451,114.2857143,314.2857143,0,708.3333333,148.1481481,20.83333333,425.9259259,231.884058,25.64102564,169.8113208,26.31578947,29.41176471,71.42857143,1213.333333,138.8888889,205.8823529,357.1428571
OTU_9,842.1052632,3441.558442,1558.823529,39418.91892,1000,9454.545455,259.2592593,1929.577465,1018.518519,1476.190476,535.7142857,1022.727273,2803.921569,911.1111111,2000,3145.16129,2933.333333,666.6666667,0,9023.255814,13789.47368,513.5135135,2263.157895,1755.555556,295.4545455,1114.285714,1575.757576,9357.142857,1183.673469,1620.689655,500,1000,2965.517241,1576.271186,2340.659341,1645.833333,2489.361702,1931.034483,750,2088.050314,810.3448276,896.1038961,3064.516129,5470.588235,2064.516129,11146.66667,7915.492958,1128.571429,1142.857143,4058.823529,1803.571429,1481.481481,1166.666667,3333.333333,2893.719807,974.3589744,2660.377358,12657.89474,1735.294118,1809.52381,7853.333333,4750,2735.294118,4479.591837
OTU_806,0,0,0,13.51351351,0,20.2020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.928571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_39,192.9824561,0,88.23529412,351.3513514,172.4137931,20.2020202,0,84.50704225,0,47.61904762,125,22.72727273,156.8627451,0,0,145.1612903,0,142.8571429,1217.391304,186.0465116,1157.894737,54.05405405,0,177.7777778,68.18181818,85.71428571,0,0,20.40816327,0,0,62.5,206.8965517,355.9322034,318.6813187,145.8333333,42.55319149,68.96551724,35.71428571,176.1006289,34.48275862,207.7922078,0,88.23529412,32.25806452,360,42.25352113,157.1428571,0,0,339.2857143,18.51851852,62.5,92.59259259,371.9806763,102.5641026,150.9433962,78.94736842,88.23529412,47.61904762,360,222.2222222,0,918.3673469
OTU_73,0,0,0,0,0,10.1010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.830917874,0,0,0,0,0,0,0,0,0
OTU_10,543.8596491,688.3116883,764.7058824,8162.162162,275.862069,6242.424242,481.4814815,1140.84507,462.962963,1809.52381,107.1428571,1568.181818,3333.333333,444.4444444,1773.584906,596.7741935,266.6666667,682.5396825,0,3186.046512,4315.789474,162.1621622,2368.421053,1000,477.2727273,657.1428571,878.7878788,7312.5,1102.040816,1517.241379,343.75,62.5,793.1034483,1152.542373,703.2967033,291.6666667,2127.659574,379.3103448,178.5714286,1169.811321,310.3448276,415.5844156,4225.806452,1470.588235,1129.032258,7573.333333,3971.830986,785.7142857,228.5714286,1254.901961,3011.904762,1685.185185,270.8333333,685.1851852,2681.15942,1000,962.2641509,1842.105263,705.8823529,1976.190476,5013.333333,2333.333333,2147.058824,3091.836735
OTU_683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_43,35.0877193,25.97402597,0,81.08108108,34.48275862,737.3737374,74.07407407,126.7605634,0,214.2857143,0,181.8181818,274.5098039,466.6666667,94.33962264,145.1612903,33.33333333,15.87301587,43.47826087,46.51162791,350.877193,54.05405405,210.5263158,66.66666667,45.45454545,0,30.3030303,812.5,81.63265306,34.48275862,0,0,34.48275862,118.6440678,131.8681319,0,234.0425532,34.48275862,0,226.4150943,34.48275862,77.92207792,516.1290323,176.4705882,64.51612903,360,309.8591549,42.85714286,0,58.82352941,190.4761905,92.59259259,62.5,185.1851852,135.2657005,76.92307692,75.47169811,184.2105263,58.82352941,95.23809524,520,0,88.23529412,285.7142857
OTU_143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.928571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.41176471,0,13.33333333,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0
OTU_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.289308176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77777778,0,0
OTU_16,70.1754386,0,0,40.54054054,0,0,0,98.5915493,0,71.42857143,0,0,0,0,0,32.25806452,0,0,0,0,87.71929825,0,0,22.22222222,0,0,0,0,61.2244898,0,0,687.5,34.48275862,0,0,0,0,0,0,0,17.24137931,0,16.12903226,29.41176471,0,40,0,0,857.1428571,0,35.71428571,0,104.1666667,0,241.5458937,0,0,0,29.41176471,0,0,0,58.82352941,122.4489796
OTU_799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_4,350.877193,688.3116883,29.41176471,67.56756757,0,0,0,0,0,23.80952381,0,0,3921.568627,0,0,16.12903226,0,0,0,0,105.2631579,0,52.63157895,0,0,85.71428571,0,35.71428571,0,0,218.75,0,172.4137931,33.89830508,1098.901099,0,0,0,0,289.3081761,137.9310345,0,1387.096774,0,0,0,42.25352113,0,28.57142857,1117.647059,0,0,0,0,9.661835749,0,0,0,0,0,26.66666667,0,0,10.20408163
OTU_524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77777778,0,0
OTU_181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_8,2964.912281,610.3896104,1441.176471,4878.378378,620.6896552,1454.545455,185.1851852,2450.704225,0,690.4761905,196.4285714,1545.454545,529.4117647,22.22222222,37245.28302,1241.935484,366.6666667,126.984127,0,441.8604651,33350.87719,108.1081081,684.2105263,955.5555556,45.45454545,1371.428571,181.8181818,2544.642857,673.4693878,275.862069,531.25,750,931.0344828,389.8305085,923.0769231,187.5,787.2340426,103.4482759,535.7142857,1339.622642,448.2758621,688.3116883,11661.29032,17558.82353,516.1290323,1293.333333,1183.098592,942.8571429,5514.285714,3431.372549,660.7142857,185.1851852,125,185.1851852,1671.497585,307.6923077,1584.90566,894.7368421,1529.411765,452.3809524,133.3333333,805.5555556,617.6470588,1653.061224
OTU_7,5140.350877,246.7532468,2852.941176,2067.567568,1068.965517,3434.343434,370.3703704,1211.267606,0,404.7619048,196.4285714,1795.454545,784.3137255,8666.666667,1056.603774,693.5483871,266.6666667,587.3015873,4434.782609,837.2093023,2631.578947,216.2162162,157.8947368,200,909.0909091,828.5714286,121.2121212,3767.857143,469.3877551,344.8275862,625,62.5,793.1034483,1169.491525,2098.901099,375,297.8723404,1172.413793,142.8571429,2647.798742,724.137931,454.5454545,596.7741935,1264.705882,1032.258065,2880,6183.098592,442.8571429,571.4285714,803.9215686,791.6666667,222.2222222,395.8333333,722.2222222,1212.560386,76.92307692,2320.754717,500,470.5882353,3095.238095,2400,888.8888889,794.1176471,1285.714286
OTU_22,87.71929825,0,58.82352941,162.1621622,34.48275862,40.4040404,74.07407407,183.0985915,0,23.80952381,0,840.9090909,0,0,226.4150943,354.8387097,66.66666667,0,0,186.0465116,122.8070175,0,368.4210526,111.1111111,0,57.14285714,0,946.4285714,40.81632653,68.96551724,0,0,34.48275862,84.74576271,175.8241758,229.1666667,276.5957447,34.48275862,0,327.0440252,34.48275862,90.90909091,370.9677419,29.41176471,96.77419355,426.6666667,380.2816901,42.85714286,0,117.6470588,160.7142857,148.1481481,20.83333333,111.1111111,4.830917874,0,207.5471698,0,176.4705882,142.8571429,0,27.77777778,58.82352941,40.81632653
OTU_14,70.1754386,0,0,0,0,0,0,0,18.51851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.71428571,0,8.928571429,0,0,0,0,0,0,0,104.1666667,0,0,0,6.289308176,0,0,0,0,0,0,0,0,0,1058.823529,0,185.1851852,0,0,14.49275362,0,0,0,264.7058824,0,0,55.55555556,0,0
OTU_127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.7142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.80952381,0,0,0,0
OTU_615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.40816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.60784314,0,0,0,0,0,0,0,0,0,0,0,0,29.41176471,0
OTU_129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.952380952,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_77,35.0877193,0,58.82352941,0,0,0,0,28.16901408,0,0,0,0,0,0,0,0,0,0,1086.956522,0,35.0877193,0,0,0,0,0,30.3030303,98.21428571,40.81632653,0,0,0,0,0,0,0,0,34.48275862,0,0,0,12.98701299,48.38709677,0,64.51612903,0,0,14.28571429,0,0,113.0952381,0,0,0,0,0,0,0,0,0,0,27.77777778,29.41176471,0
OTU_19,105.2631579,0,0,162.1621622,0,60.60606061,0,14.08450704,0,23.80952381,0,0,0,0,94.33962264,0,33.33333333,126.984127,86.95652174,0,0,0,0,0,0,0,90.90909091,383.9285714,0,103.4482759,0,0,68.96551724,0,0,20.83333333,0,0,0,0,0,25.97402597,0,0,0,266.6666667,0,28.57142857,0,0,130.952381,0,0,0,0,102.5641026,0,0,0,0,0,55.55555556,29.41176471,91.83673469
OTU_31,175.4385965,0,0,54.05405405,0,50.50505051,0,183.0985915,0,23.80952381,35.71428571,45.45454545,19.60784314,466.6666667,132.0754717,0,133.3333333,158.7301587,1695.652174,23.25581395,70.1754386,0,105.2631579,133.3333333,22.72727273,0,121.2121212,62.5,122.4489796,68.96551724,0,0,758.6206897,0,109.8901099,20.83333333,106.3829787,103.4482759,0,56.60377358,0,0,16.12903226,88.23529412,64.51612903,920,126.7605634,0,0,98.03921569,178.5714286,18.51851852,20.83333333,92.59259259,82.12560386,282.0512821,75.47169811,0,0,142.8571429,0,55.55555556,264.7058824,142.8571429
OTU_37,17.54385965,0,88.23529412,13.51351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.51162791,0,0,0,0,0,0,181.8181818,0,0,0,0,0,0,0,10.98901099,0,0,0,71.42857143,0,0,0,0,0,0,333.3333333,14.08450704,0,28.57142857,0,238.0952381,18.51851852,0,37.03703704,188.4057971,0,0,0,0,0,0,0,58.82352941,40.81632653
OTU_116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_49,17.54385965,0,88.23529412,472.972973,0,0,0,28.16901408,0,71.42857143,0,0,0,0,94.33962264,0,0,0,0,0,35.0877193,0,0,22.22222222,90.90909091,0,515.1515152,330.3571429,0,0,0,0,34.48275862,0,0,0,0,0,0,0,0,25.97402597,0,0,0,0,0,114.2857143,0,0,363.0952381,0,20.83333333,0,0,25.64102564,0,0,0,0,186.6666667,0,88.23529412,0
OTU_45,0,0,0,81.08108108,0,0,0,0,0,0,0,0,58.82352941,0,0,0,0,0,0,0,70.1754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_15,1192.982456,506.4935065,705.8823529,1459.459459,103.4482759,414.1414141,2592.592593,2070.422535,0,833.3333333,178.5714286,250,19.60784314,4844.444444,566.0377358,16.12903226,33.33333333,1301.587302,826.0869565,69.76744186,456.1403509,0,0,311.1111111,2340.909091,0,1848.484848,6383.928571,367.3469388,482.7586207,0,125,206.8965517,711.8644068,54.94505495,62.5,170.212766,68.96551724,0,905.6603774,68.96551724,792.2077922,112.9032258,2058.823529,677.4193548,2520,816.9014085,428.5714286,28.57142857,58.82352941,2178.571429,0,0,18.51851852,913.0434783,179.4871795,169.8113208,52.63157895,500,738.0952381,1200,750,764.7058824,1867.346939
